Name,Height
Alaa Abdelnaby,82
Zaid Abdul-Aziz,81
Kareem Abdul-Jabbar,86
Mahmoud Abdul-Rauf,73
Tariq Abdul-Wahad,78
Shareef Abdur-Rahim,81
Tom Abernethy,79
Forest Able,75
John Abramovic,75
Alex Abrines,78
Alex Acker,77
Donald Ackerman,72
Mark Acres,83
Charles Acton,78
Quincy Acy,79
Alvan Adams,81
Don Adams,79
Hassan Adams,76
Jaylen Adams,72
Jordan Adams,77
Michael Adams,70
Steven Adams,83
Rafael Addison,80
Bam Adebayo,81
Deng Adel,79
Rick Adelman,74
Jeff Adrien,NA
Arron Afflalo,77
Maurice Ager,77
Mark Aguirre,78
Blake Ahearn,74
Danny Ainge,77
Alexis Ajinca,86
Henry Akin,82
Josh Akognon,71
DeVaughn Akoon-Purcell,78
Solomon Alabi,85
Mark Alarie,80
Gary Alcorn,81
Furkan Aldemir,82
Cole Aldrich,83
LaMarcus Aldridge,83
Chuck Aleksinas,83
Cliff Alexander,80
Cory Alexander,73
Courtney Alexander,77
Gary Alexander,79
Joe Alexander,80
Kyle Alexander,82
Victor Alexander,82
Nickeil Alexander-Walker,78
Steve Alford,74
Rawle Alkins,77
Bob Allen,81
Grayson Allen,76
Jarrett Allen,83
Jerome Allen,76
Kadeem Allen,73
Lavoy Allen,81
Lucius Allen,74
Malik Allen,82
Randy Allen,80
Ray Allen,77
Tony Allen,76
Odis Allison,78
Lance Allred,83
Darrell Allums,80
Morris Almond,78
Derrick Alston,83
Rafer Alston,74
Peter Aluma,82
John Amaechi,82
Ashraf Amaya,80
Al-Farouq Aminu,80
Lou Amundson,81
Bob Anderegg,75
Chris Andersen,82
David Andersen,NA
Alan Anderson,78
Antonio Anderson,78
Cliff Anderson,74
Daniel Anderson,74
Derek Anderson,77
Dwight Anderson,75
Eric Anderson,81
Greg Anderson,82
James Anderson,78
Jerome Anderson,77
Justin Anderson,77
Kenny Anderson,73
Kim Anderson,79
Kyle Anderson,81
Michael Anderson,71
Mitchell Anderson,80
Nick Anderson,78
Richard Anderson,82
Ron Anderson,79
Ryan Anderson,81
Shandon Anderson,78
Willie Anderson,80
Wally Anderzunas,79
Martynas Andriuskevicius,86
Don Anielak,79
Ike Anigbogu,82
Michael Ansley,79
Chris Anstey,84
Giannis Antetokounmpo,83
Kostas Antetokounmpo,82
Thanasis Antetokounmpo,78
Carmelo Anthony,79
Greg Anthony,73
Joel Anthony,81
Pero Antic,83
OG Anunoby,79
Keith Appling,73
Rafael Araujo,83
Stacey Arceneaux,76
Nate Archibald,73
Robert Archibald,83
Ryan Arcidiacono,75
Jim Ard,81
Gilbert Arenas,76
Trevor Ariza,80
Paul Arizin,76
Joe Arlauckas,81
B.J. Armstrong,74
Bob Armstrong,80
Brandon Armstrong,77
Darrell Armstrong,73
Hilton Armstrong,83
Paul Armstrong,71
Tate Armstrong,75
Jesse Arnelle,77
Jay Arnette,74
Bob Arnzen,77
Carlos Arroyo,74
Darrell Arthur,81
John Arthurs,76
Jamel Artis,79
Omer Asik,84
Vincent Askew,78
Keith Askins,80
Don Asmonga,74
Richard Atha,74
Chucky Atkins,71
Alvin Attles,73
Chet Aubuchon,70
Stacey Augmon,80
D.J. Augustin,71
James Augustine,82
Ike Austin,82
John Austin,72
Ken Austin,81
Anthony Avent,81
William Averitt,74
William Avery,74
Dennis Awtrey,82
Gustavo Ayon,NA
Jeff Ayres,81
Deandre Ayton,83
Kelenna Azubuike,77
Chris Babb,77
Luke Babbitt,81
Milos Babic,84
Johnny Bach,74
Dwayne Bacon,78
Jim Baechtold,76
Dalibor Bagaric,85
John Bagley,72
Marvin Bagley III,83
Carl Bailey,84
Gus Bailey,77
James Bailey,81
Thurl Bailey,83
Toby Bailey,78
Cameron Bairstow,81
Mark Baker,73
Maurice Baker,74
Norm Baker,72
Ron Baker,76
Vin Baker,83
Wade Baldwin IV,76
Renaldo Balkman,80
Cedric Ball,80
Lonzo Ball,78
Greg Ballard,79
Herschel Baltimore,76
Mo Bamba,84
Gene Banks,79
Marcus Banks,74
Ken Bannister,81
Mike Bantom,81
John Barber,78
Leandro Barbosa,75
Stephen Bardo,77
J.J. Barea,70
Andrea Bargnani,84
Cliff Barker,74
Tom Barker,83
Charles Barkley,78
Erick Barkley,73
Don Barksdale,78
Harrison Barnes,80
Harry Barnes,75
Jim Barnes,80
Marvin Barnes,81
Matt Barnes,79
Dick Barnett,76
Jim Barnett,76
John Barnhill,73
Norton Barnhill,76
Leo Barnhorst,76
John Barr,75
Mike Barr,75
Thomas Barr,76
Andre Barrett,70
Ernie Barrett,NA
RJ Barrett,78
Earl Barron,84
Dana Barros,71
Brent Barry,79
Drew Barry,77
Jon Barry,77
Rick Barry,79
Ed Bartels,78
Vic Bartolome,84
Will Barton,78
Eddie Basden,77
Jerry Baskerville,79
Brandon Bass,80
Tim Bassett,80
Maceo Baston,82
Mengke Bateer,83
Billyray Bates,76
Keita Bates-Diop,80
Esteban Batista,82
Mike Batiste,NA
Tony Battie,83
Shane Battier,80
John Battle,74
Kenny Battle,78
Dave Batton,82
Nicolas Batum,80
Johnny Baum,77
Frankie Baumholtz,70
Lonny Baxter,80
Jerryd Bayless,75
Elgin Baylor,77
Aron Baynes,82
Sergei Bazarevich,74
Kent Bazemore,76
Darius Bazley,80
Ed Beach,75
Bradley Beal,75
Butch Beard,75
Ralph Beard,70
Jerome Beasley,81
Malik Beasley,76
Michael Beasley,81
Zelmo Beaty,81
Rodrigue Beaubois,74
Byron Beck,81
Corey Beck,75
Ernie Beck,76
Moe Becker,73
William Bedford,84
Hank Beenders,77
Ron Behagen,81
Elmer Behnke,79
Marco Belinelli,77
Charlie Bell,75
Dennis Bell,77
Jordan Bell,80
Raja Bell,77
Troy Bell,73
William Bell,72
Walt Bellamy,82
DeAndre' Bembry,77
Irv Bemoras,75
Leon Benbow,76
Dragan Bender,84
Jonathan Bender,84
Jerrelle Benimon,NA
Benoit Benjamin,84
Corey Benjamin,78
Anthony Bennett,80
Elmer Bennett,72
Mario Bennett,81
Mel Bennett,79
Tony Bennett,72
Winston Bennett,79
David Benoit,80
Keith Benson,83
Kent Benson,83
Ben Bentil,81
Gene Berce,71
Gary Bergen,80
Ricky Berry,80
Walter Berry,80
Dairis Bertans,76
Davis Bertans,82
Del Beshore,71
Travis Best,71
Patrick Beverley,73
Sim Bhullar,89
Al Bianchi,75
Hank Biasatti,71
Henry Bibby,73
Mike Bibby,74
Ed Biedenbach,73
Andris Biedrins,84
Don Bielke,79
Bob Bigelow,79
Chauncey Billups,75
Dave Bing,75
Joe Binion,80
Khem Birch,81
Jabari Bird,78
Jerry Bird,78
Larry Bird,81
Otis Birdsong,75
Gale Bishop,75
Goga Bitadze,83
Bismack Biyombo,80
Nemanja Bjelica,82
Uwe Blab,85
Charlie Black,76
Norman Black,77
Tarik Black,81
Tom Black,82
Rolando Blackman,78
Alex Blackwell,78
Cory Blackwell,78
James Blackwell,72
Nate Blackwell,76
DeJuan Blair,79
Steve Blake,75
Marqus Blakely,77
Antonio Blakeney,76
Will Blalock,72
George Blaney,73
Lance Blanks,76
Ricky Blanton,79
Andray Blatche,83
Mookie Blaylock,NA
Eric Bledsoe,73
Leon Blevins,74
John Block,82
Mike Bloom,78
Jaron Blossomgame,80
Corie Blount,82
Mark Blount,84
Vander Blue,77
Trevon Bluiett,78
Ray Blume,76
Nelson Bobb,72
Tony Bobbitt,76
Arlen Bockhorn,76
Tom Boerwinkle,84
Keith Bogans,77
Bogdan Bogdanovic,78
Bojan Bogdanovic,79
Muggsy Bogues,NA
Andrew Bogut,84
Etdrick Bohannon,NA
Bol Bol,86
Manute Bol,90
Jonah Bolden,80
Bill Bolger,77
Joel Bolomboy,81
Doug Bolstorff,76
George H. Bon Salle,80
Phil Bond,74
Walter Bond,77
Jordan Bone,74
Dexter Boney,76
Isaac Bonga,80
Ron Bonham,76
Anthony Bonner,80
Matt Bonner,82
Devin Booker,77
Melvin Booker,74
Trevor Booker,80
Josh Boone,82
Ron Boone,74
Calvin Booth,83
Keith Booth,78
Bob Boozer,80
Carlos Boozer,81
Curtis Borchardt,84
Jake Bornheimer,77
Lazaro Borrell,80
Costic Borsavage,80
Vince Boryla,77
Chris Bosh,83
Jim Bostic,79
Lawrence Boston,80
Tom Boswell,80
Chris Boucher,81
Ruben Boumtje-Boumtje,84
Don Boven,76
Cal Bowdler,82
Bruce Bowen,79
Ryan Bowen,81
Brian Bowen II,78
Anthony Bowie,78
Sam Bowie,85
Ira Bowman,NA
Ky Bowman,73
Nate Bowman,82
Donnie Boyce,77
Dennis Boyd,73
Fred Boyd,74
Ken Boyd,77
Earl Boykins,65
Harry Boykoff,81
Winford Boynes,78
Cedric Bozeman,78
Steve Bracey,73
Craig Brackins,82
Gary Bradds,80
Alex Bradley,78
Alonzo Bradley,78
Avery Bradley,75
Bill Bradley,77
